,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-2 disjoint setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Step,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,M-IoU (1-10),M-IoU (11-12),M-IoU (13-14),M-IoU (15-16),M-IoU (17-18),M-IoU (19-20)
Ours,2,1,26.795,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,3,1,29.75,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,4,1,23.985,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,1,24.72,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,2,2,23.305,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,3,2,31.205,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,4,2,32.2,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,2,30.48,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,3,3,33.055,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,4,3,34.5,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,3,36.66,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,4,4,20.69,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,4,22.9,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,5,16.445,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,0,0,54.694,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,0,58.886,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,0,58.63,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,1,46.24,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,1,46.934,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,2,43.646,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,0,0,54.694,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,1,0,60.672,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,2,0,60.51,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,1,1,47.114,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,2,1,47.668,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,2,2,45.96,VOC,10_5,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,0,0,72.199,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,0,70.575,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,0,60.533,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,0,51.59,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,0,46.847,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,0,38.69,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,1,30.645,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,1,31.675,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,1,25.575,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,1,18.095,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,1,13.225,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,2,26.51,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,2,30.965,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,2,37.98,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,2,35.135,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,3,28.705,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,3,30.755,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,3,32.45,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,4,14.875,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,4,17.64,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,5,13.35,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,0,0,72.199,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,1,0,72.065,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,0,62.87,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,3,0,58.856,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,4,0,51.823,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,0,44.506,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,1,1,34.14,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,1,32.75,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,3,1,26.655,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,4,1,19.515,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,1,18.445,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,2,29.475,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,3,2,36.825,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,4,2,40.085,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,2,37.05,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,3,3,35.26,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,4,3,37.21,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,3,39.78,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,4,4,24.345,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,4,26.775,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,5,5,19.765,VOC,10_2,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,0,0,72.199,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,0,68.371,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,0,66.791,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,1,55.606,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,1,53.814,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,2,39.284,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,0,0,72.199,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,1,0,70.84,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,0,68.814,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,1,1,56.062,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,1,54.574,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
Ours,2,2,43.646,VOC,10_5,overlap,,,,,,,,,,,,,,,,,,,,,,
